"";"ID";"run";"cond";"pros";"sem";"sentenceType";"voice";"voiceGender";"sentenceNb";"stimuli";"scoreV";"scoreA";"scoreVnv";"scoreAnv"
"1";"1";"1";"cp";"m";"p";"context";"f4";"f";"14";"CPf4_14.wav";NA;NA;"4";"3"
"2";"1";"1";"cp";"m";"p";"context";"f3";"f";"10";"CPf3_10.wav";NA;NA;"3";"1"
"3";"1";"1";"sp";"n";"p";"statement";"h2";"h";"7";"SPnegh2_7.wav";NA;NA;"4";"2"
"4";"1";"1";"sn";"m";"n";"statement";"h2";"h";"6";"SNmonh2_6.wav";NA;NA;"NaN";"2"
"5";"1";"1";"sn";"p";"n";"statement";"f4";"f";"16";"SNposf4_16.wav";NA;NA;"NaN";"3"
"6";"1";"1";"sn";"n";"n";"statement";"h4";"h";"14";"SNnegh4_14.wav";NA;NA;"1";"4"
"7";"1";"1";"sn";"p";"n";"statement";"f1";"f";"3";"SNposf1_3.wav";NA;NA;"3";"4"
"8";"1";"1";"sp";"m";"p";"statement";"h1";"h";"3";"SPmonh1_3.wav";NA;NA;"3";"1"
"9";"1";"1";"sn";"m";"n";"statement";"f1";"f";"2";"SNmonf1_2.wav";NA;NA;"3";"NaN"
"10";"1";"1";"cn";"m";"n";"context";"h2";"h";"6";"CNh2_6.wav";NA;NA;"3";"1"
"11";"1";"1";"sn";"n";"n";"statement";"f4";"f";"15";"SNnegf4_15.wav";NA;NA;"2";"3"
"12";"1";"1";"sp";"p";"p";"statement";"h3";"h";"9";"SPposh3_9.wav";NA;NA;"5";"5"
"13";"1";"1";"sp";"n";"p";"statement";"f1";"f";"1";"SPnegf1_1.wav";NA;NA;"4";"5"
"14";"1";"1";"sp";"p";"p";"statement";"h2";"h";"7";"SPposh2_7.wav";NA;NA;"NaN";"5"
"15";"1";"1";"sp";"p";"p";"statement";"f4";"f";"15";"SPposf4_15.wav";NA;NA;"5";"5"
"16";"1";"1";"cp";"m";"p";"context";"f1";"f";"2";"CPf1_2.wav";NA;NA;"3";"1"
"17";"1";"1";"sn";"m";"n";"statement";"f1";"f";"3";"SNmonf1_3.wav";NA;NA;"2";"1"
"18";"1";"1";"sp";"p";"p";"statement";"h3";"h";"10";"SPposh3_10.wav";NA;NA;"4";"5"
"19";"1";"1";"sp";"p";"p";"statement";"f3";"f";"9";"SPposf3_9.wav";NA;NA;"4";"3"
"20";"1";"1";"sn";"n";"n";"statement";"h3";"h";"11";"SNnegh3_11.wav";NA;NA;"NaN";"4"
"21";"1";"1";"cp";"m";"p";"context";"h1";"h";"1";"CPh1_1.wav";NA;NA;"3";"1"
"22";"1";"1";"cn";"m";"n";"context";"f2";"f";"5";"CNf2_5.wav";NA;NA;"NaN";"NaN"
"23";"1";"1";"sn";"m";"n";"statement";"h3";"h";"12";"SNmonh3_12.wav";NA;NA;"3";"1"
"24";"1";"1";"sp";"p";"p";"statement";"h3";"h";"12";"SPposh3_12.wav";NA;NA;"4";"5"
"25";"1";"1";"sn";"p";"n";"statement";"h1";"h";"3";"SNposh1_3.wav";NA;NA;"4";"4"
