subID	 genre	 age	 group	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Condition_code	 Evaluation_Score	 Validation_Type	 Evaluation_Score_2	 Validation_Type_2	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Onset_Evaluation2	 End_Evaluation2	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Real_Time_Onset_Evaluation2	 Time_End_Evaluation2	 RT2
18	3	32	1	sarcasm	2	CPh2_3.wav	SPnegh4_3.wav	CP_SPneg	3	4	2	directvalide	2	valid	1.8591	1.1162	h2	h4	0	1	2.8591	3.8591	4.9753	5.9753	9.9753	9.9753	13.9753	0.0084262	1.0094	2.8612	3.8626	4.98	5.9814	8.0268	2.0454	9.9854	13.3067	3.3213
18	3	32	1	sarcasm	2	CNh4_4.wav	SPnegf4_4.wav	CN_SPneg	4	5	4	valid	5	valid	2.1011	1.6621	h4	f4	13.9753	14.9753	17.0764	18.0764	19.7385	20.7385	24.7385	24.7385	28.7385	13.9894	14.9904	17.0922	18.0936	19.7448	20.7462	23.7227	2.9765	24.7502	27.1225	2.3723
18	3	32	1	sarcasm	2	CNf1_5.wav	SNnegh4_5.wav	CN_SNneg	5	1	1	directvalide	1	valid	1.9802	0.99549	f1	h4	28.7385	29.7385	31.7187	32.7187	33.7141	34.7141	38.7141	38.7141	42.7141	28.7542	29.7552	31.7235	32.7248	33.7255	34.7269	37.2348	2.5079	38.7309	42.1309	3.4
18	3	32	1	sarcasm	2	CPh2_4.wav	SPnegh3_4.wav	CP_SPneg	4	4	1	valid	1	valid	2.4925	1.2944	h2	h3	42.7141	43.7141	46.2066	47.2066	48.501	49.501	53.501	53.501	57.501	42.7182	43.7192	46.2213	47.2227	48.507	49.5083	51.2588	1.7506	53.5123	54.923	1.4107
18	3	32	1	sarcasm	2	CPf1_5.wav	SPposh2_5.wav	CP_SPpos	5	1	1	valid	1	valid	2.1397	0.8254	f1	h2	57.501	58.501	60.6407	61.6407	62.4661	63.4661	67.4661	67.4661	71.4661	57.5164	58.5174	60.6523	61.6538	62.4709	63.4724	65.2545	1.7821	67.4763	68.7587	1.2823
18	3	32	1	sarcasm	2	CNh4_5.wav	SPposh1_5.wav	CN_SPpos	5	5	3	valid	2	directvalide	2.3706	0.81029	h4	h1	71.4661	72.4661	74.8367	75.8367	76.647	77.647	81.647	81.647	85.647	71.4803	72.4813	74.85	75.8513	76.6518	77.6531	80.8032	3.15	81.6573	83.4991	1.8418
18	3	32	1	sarcasm	2	CNf1_7.wav	SPnegf2_7.wav	CN_SPneg	7	5	3	valid	2	valid	2.0374	0.91574	f1	f2	85.647	86.647	88.6844	89.6844	90.6001	91.6001	95.6001	95.6001	99.6001	85.6612	86.6622	88.6972	89.6985	90.6158	91.6172	94.2192	2.6019	95.6044	97.5551	1.9507
18	3	32	1	sarcasm	2	CNf4_3.wav	SPnegf2_3.wav	CN_SPneg	3	5	5	valid	5	valid	3.3344	1.161	f4	f2	99.6001	100.6001	103.9345	104.9345	106.0955	107.0955	111.0955	111.0955	115.0955	99.6085	100.6094	103.9459	104.9471	106.098	107.0993	109.3548	2.2555	111.1033	113.4587	2.3554
18	3	32	1	sarcasm	2	CPf3_6.wav	SNnegh3_6.wav	CP_SNneg	6	4	4	nonvalid	5	directvalide	2.457	0.99599	f3	h3	115.0955	116.0955	118.5525	119.5525	120.5485	121.5485	125.5485	125.5485	129.5485	115.1074	116.1083	118.5604	119.5618	120.5624	121.5638	NaN	NaN	125.5673	125.7795	0.21221
18	3	32	1	sarcasm	2	CPh1_8.wav	SPnegh2_8.wav	CP_SPneg	8	4	2	valid	1	directvalide	1.4807	0.8742	h1	h2	129.5485	130.5485	132.0292	133.0292	133.9034	134.9034	138.9034	138.9034	142.9034	129.5551	130.5561	132.0406	133.0419	133.9094	134.9105	138.2111	3.3006	138.9145	140.0669	1.1524
18	3	32	1	sarcasm	2	CNf1_8.wav	SNnegh2_8.wav	CN_SNneg	8	1	1	valid	1	valid	1.8561	0.92705	f1	h2	142.9034	143.9034	145.7595	146.7595	147.6865	148.6865	152.6865	152.6865	156.6865	142.9185	143.9195	145.7712	146.7724	147.6896	148.6909	150.1394	1.4485	152.695	153.9148	1.2198
18	3	32	1	sarcasm	2	CPh3_8.wav	SPposf1_8.wav	CP_SPpos	8	1	1	valid	1	valid	1.5807	1.0172	h3	f1	156.6865	157.6865	159.2672	160.2672	161.2844	162.2844	166.2844	166.2844	170.2844	156.699	157.7	159.2848	160.2691	161.2866	162.2879	163.2353	0.94749	166.2919	167.6911	1.3992
18	3	32	1	sarcasm	2	CNh4_4.wav	SPposh2_4.wav	CN_SPpos	4	5	4	valid	3	directvalide	2.1011	1.2645	h4	h2	170.2844	171.2844	173.3855	174.3855	175.6501	176.6501	180.6501	180.6501	184.6501	170.2959	171.297	173.3988	174.4	175.651	176.6523	178.9548	2.3025	180.6562	182.4913	1.8352
18	3	32	1	sarcasm	2	CNh4_3.wav	SNposh2_3.wav	CN_SNpos	3	4	1	valid	1	directvalide	2.8305	1.1263	h4	h2	184.6501	185.6501	188.4806	189.4806	190.6069	191.6069	195.6069	195.6069	199.6069	184.6603	185.6613	188.497	189.4819	190.6159	191.6172	193.8593	2.2422	195.6212	196.3868	0.7655
18	3	32	1	sarcasm	2	CPf4_2.wav	SNnegh3_2.wav	CP_SNneg	2	4	1	directvalide	2	nonvalid	1.9699	1.3186	f4	h3	199.6069	200.6069	202.5768	203.5768	204.8954	205.8954	209.8954	209.8954	213.8954	199.6085	200.6096	202.5779	203.5792	204.8969	205.8983	208.1309	2.2326	209.9023	NaN	NaN
18	3	32	1	sarcasm	2	CNh4_8.wav	SNposh2_8.wav	CN_SNpos	8	4	1	directvalide	1	valid	2.0463	0.88234	h4	h2	213.8954	214.8954	216.9417	217.9417	218.824	219.824	223.824	223.824	227.824	213.9058	214.9073	216.9424	217.9436	218.8277	219.8288	222.8114	2.9826	223.8328	225.291	1.4582
18	3	32	1	sarcasm	2	CPf1_2.wav	SPnegh1_2.wav	CP_SPneg	2	4	4	valid	3	valid	1.8026	1.7807	f1	h1	227.824	228.824	230.6267	231.6267	233.4073	234.4073	238.4073	238.4073	242.4073	227.8369	228.8379	230.6392	231.6407	233.409	234.4101	235.907	1.4968	238.4141	239.6114	1.1973
18	3	32	1	sarcasm	2	CPh4_4.wav	SNnegf2_4.wav	CP_SNneg	4	4	4	valid	1	valid	2.1942	1.3926	h4	f2	242.4073	243.4073	245.6015	246.6015	247.9941	248.9941	252.9941	252.9941	256.9941	242.4181	243.4191	245.6043	246.6057	248.0068	249.0082	251.7474	2.7392	252.9952	254.1712	1.176
18	3	32	1	sarcasm	2	CPf1_6.wav	SPposf3_6.wav	CP_SPpos	6	1	1	valid	1	valid	1.932	1.2249	f1	f3	256.9941	257.9941	259.9261	260.9261	262.151	263.151	267.151	267.151	271.151	256.9994	258.0004	259.9354	260.9369	262.1543	263.1558	264.5388	1.383	267.1595	268.075	0.91543
18	3	32	1	sarcasm	2	CPh3_3.wav	SPposf2_3.wav	CP_SPpos	3	1	1	valid	1	valid	1.8993	1.1189	h3	f2	271.151	272.151	274.0503	275.0503	276.1692	277.1692	281.1692	281.1692	285.1692	271.1636	272.1646	274.0663	275.0679	276.1852	277.1862	278.5949	1.4087	281.1736	282.1235	0.94988
18	3	32	1	sarcasm	2	CPh1_7.wav	SPnegh3_7.wav	CP_SPneg	7	4	2	valid	1	valid	1.7797	1.0404	h1	h3	285.1692	286.1692	287.9489	288.9489	289.9893	290.9893	294.9893	294.9893	298.9893	285.1779	286.1787	287.9635	288.9647	289.9988	291.0004	294.251	3.2506	295.0041	296.2435	1.2394
18	3	32	1	sarcasm	2	CNh2_2.wav	SPnegf4_2.wav	CN_SPneg	2	5	5	valid	3	directvalide	1.8826	1.9134	h2	f4	298.9893	299.9893	301.8718	302.8718	304.7853	305.7853	309.7853	309.7853	313.7853	298.9914	299.9924	301.8772	302.8786	304.7969	305.7982	306.5234	0.72521	309.8022	311.4192	1.617
18	3	32	1	sarcasm	2	CNh3_2.wav	SNposh4_2.wav	CN_SNpos	2	4	1	valid	1	valid	1.8451	1.1111	h3	h4	313.7853	314.7853	316.6304	317.6304	318.7415	319.7415	323.7415	323.7415	327.7415	313.7896	314.7906	316.642	317.6435	318.7441	319.7455	323.171	3.4255	323.7498	324.8044	1.0546
18	3	32	1	sarcasm	2	CPh1_4.wav	SPposh4_4.wav	CP_SPpos	4	1	1	valid	1	directvalide	2.0088	1.2217	h1	h4	327.7415	328.7415	330.7503	331.7503	332.972	333.972	337.972	337.972	341.972	327.7536	328.7546	330.7562	331.758	332.9754	333.9765	335.3872	1.4108	337.9805	338.5715	0.59098
18	3	32	1	sarcasm	2	CNf2_1.wav	SNposf3_1.wav	CN_SNpos	1	4	1	directvalide	2	valid	2.1269	1.1929	f2	f3	341.972	342.972	345.0989	346.0989	347.2918	348.2918	352.2918	352.2918	356.2918	341.9848	342.9858	345.1041	346.1053	347.3061	348.3074	348.8909	0.58351	352.2948	353.9233	1.6285
18	3	32	1	sarcasm	2	CPh4_3.wav	SNnegh2_3.wav	CP_SNneg	3	4	3	valid	1	valid	1.9518	1.1466	h4	h2	356.2918	357.2918	359.2437	360.2437	361.3903	362.3903	366.3903	366.3903	370.3903	356.2987	357.2997	359.2514	360.2532	361.4037	362.4049	365.1396	2.7347	366.3922	367.6351	1.2428
