ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
2.017	2.14767	1.77954	1.29759	1.02546	1.26713	0.306029	0.84759	3.27349	2.94542	3.31069	2.81688	1.96396	3.66673	2.03573	1.98397	1.47855	0.463822	1.36127	1.61121	
-0.157141	-0.920042	0.114134	-0.17507	0.128433	-0.165879	0.0207674	1.07185	-0.199903	-0.28897	0.343429	1.35629	-0.842774	0.498307	1.72957	-0.850917	-2.6324	-0.281712	0.531982	0.010923	
0.763625	0.558998	0.646886	-0.410482	0.0644428	0.144626	0.166623	-0.0397605	0.719129	0.353961	0.520387	0.623181	-0.174463	0.387786	-0.0972419	0.35922	0.582273	0.968443	0.162477	0.398489	
0.952206	0.516349	0.844788	1.19527	1.0038	0.929379	0.695981	0.986413	0.569754	1.68136	0.678145	0.560331	0.415684	0.947582	0.711197	0.423043	-0.27709	0.355657	0.226382	0.267538	
1.95224	2.12156	2.69051	2.51575	0.967861	2.30402	1.8216	1.21023	1.30412	2.4715	0.958403	1.54983	1.98532	2.44371	1.91617	0.958854	1.29052	2.52794	1.42507	1.76614	
-1.18774	-0.649253	-0.692264	-0.611341	0.554546	1.13375	0.770817	0.401106	0.615309	0.984745	1.31208	0.599466	-0.184626	1.06086	0.0976404	0.141236	-0.097813	-0.450002	-0.147202	-0.138508	
2.31619	1.49153	2.41173	1.62399	2.48263	2.12265	2.78388	2.31048	1.80043	2.63497	2.54406	2.4118	2.06093	2.24055	1.50544	0.832757	1.19331	1.61704	1.96888	2.21181	
0.724292	0.610644	0.290975	0.274679	0.499194	0.837665	0.78768	0.744834	0.54118	1.15535	1.28107	0.877416	0.165511	1.51677	0.13641	0.651147	0.477242	0.563122	0.637981	0.122036	
-2.05933	-2.41602	-1.34811	-1.13637	-0.18352	-1.75394	-1.99756	-0.942202	-1.68211	-2.34018	-1.1464	-1.47091	0.633399	0.784701	-0.173064	-1.51873	-0.979396	-0.854868	-2.07507	-3.43576	
-0.102053	-0.313864	0.0271942	-0.410871	0.461388	-0.068393	0.158589	-0.213695	-0.201718	0.204351	0.0574291	-0.318695	0.42985	0.308782	0.146348	0.0684501	-0.789309	-0.417027	-0.366838	-0.675594	
1.79912	1.36187	1.17295	1.52138	-1.60275	-0.682649	-0.279318	-1.30439	1.16029	0.903828	0.98807	0.94827	-1.0622	0.281731	0.335537	-0.15665	0.393462	0.897803	-0.455154	-0.425152	
0.856239	1.96069	1.15791	0.0120466	-1.24804	-0.999296	-1.18059	-1.72492	-3.06365	-2.67406	-2.1893	-3.38601	0.160732	-0.0953045	0.337536	-0.601676	-0.306557	-0.103192	0.828449	-1.45553	
0.236871	2.90798	1.42745	0.192208	3.08133	1.03596	0.524875	-0.0743271	-1.41577	0.202583	-0.437064	-1.15329	1.50195	3.53462	2.13151	3.29086	2.90437	0.592512	7.12948	-1.52956	
-0.136052	-0.418422	0.81328	0.403909	-0.0049029	-0.35896	0.163675	-0.271656	-1.23287	0.738724	0.0619898	0.396034	0.921444	1.95098	0.830867	-0.35991	-0.411507	0.283441	0.329753	-0.291183	
-1.91968	-3.35592	-2.32331	-1.09196	-1.52937	-2.26704	-2.68054	-2.2061	-1.36124	-2.14713	-1.03884	-1.98787	-1.60578	-1.39055	-1.24522	-1.15918	-1.49292	-1.14139	-0.945023	-0.727077	
3.45155	6.18229	4.64151	3.93125	3.01409	3.33512	3.14251	3.37692	3.78979	5.36424	5.30316	2.13316	2.48136	5.79513	2.32872	3.56821	0.364401	2.77642	3.89655	-0.1193	
-1.30187	1.19408	1.21557	0.645664	-0.100191	2.93468	0.875926	0.17039	0.471106	0.341109	1.19326	-0.28398	1.12067	1.22978	0.824475	-0.473259	1.77306	1.03159	2.41679	0.92632	
1.39586	1.02088	0.789037	1.31948	2.92851	2.63049	2.77711	2.24617	0.296631	1.15103	1.55214	0.496449	1.12963	1.53935	2.28517	1.19029	1.80271	2.1952	2.2037	1.13996	
2.07143	3.63623	2.24365	2.73408	2.4108	1.12187	1.92057	3.85973	1.39036	1.46644	1.53414	2.52888	1.91162	0.326548	1.60979	3.19886	0.256144	-1.11383	0.202649	-0.104991	
-0.242874	-0.0201732	-0.346018	-1.22326	-0.340489	2.14577	1.6704	1.32666	0.710418	-0.723043	-0.199012	0.43079	0.14564	-0.54624	0.688899	0.535444	1.8955	1.0993	2.01197	0.300555	
0.07362	2.47011	3.81905	3.08684	1.81855	1.80871	0.75251	1.66448	3.49295	3.77206	4.3369	2.81331	2.2697	2.05799	2.52195	2.54724	2.65323	3.50662	2.88678	2.98649	
2.2292	4.27903	3.28663	3.97092	4.37449	4.32273	4.34181	3.65106	3.28257	1.74809	2.83051	2.8107	1.36176	2.61104	1.34529	1.29905	1.16038	1.44786	2.14308	1.08712	
