ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
1.48105	2.43159	1.64534	0.0645735	-0.642369	0.833168	-0.237861	-0.938414	0.874598	0.907749	0.888974	1.39166	0.538888	2.27971	0.952111	1.84915	0.2914	-0.357673	-0.699106	-0.535022	
-1.23754	-0.254736	-0.874085	-0.905529	-0.131275	0.744027	-0.0842044	-0.638618	0.129168	-0.557518	0.485746	-1.10664	0.00434851	-0.0530179	-0.227299	0.200905	-0.929631	-0.325273	-0.362894	-1.30765	
1.00848	1.35983	1.20371	1.0357	-0.524778	0.234321	0.254111	-0.0680875	-0.0320693	0.153786	-0.360088	0.139697	0.701719	0.492671	0.757991	0.546315	0.500252	0.290503	0.00283448	0.752086	
0.0492798	0.0472073	0.130098	0.632994	0.0284751	-0.0866136	-0.683695	0.52496	-0.588015	0.503081	-0.518403	-0.587539	-0.475736	-0.776736	-0.716331	-1.13124	-1.02768	-0.454331	-1.13726	-0.443174	
-0.488321	0.299994	0.0986476	-0.973786	-2.92268	-1.11787	-0.515905	-1.19347	-3.55751	-3.59956	-4.07194	-5.18018	-1.9305	-0.794493	-0.935735	-1.65546	-1.66415	-1.11216	-1.54527	-1.53502	
-0.41501	0.52175	-0.43288	-0.147947	1.39889	0.708906	-0.273979	0.301932	1.5819	1.17454	1.86295	0.769581	-0.818371	0.0822694	-0.555669	0.176479	-0.317815	0.0783563	0.196681	-0.609923	
1.04899	1.34638	0.485734	0.651489	-0.16117	0.14583	-0.265428	-0.306821	-0.511262	-0.171362	0.0932945	0.0113268	0.488794	0.0750438	0.0107635	-0.478584	0.601525	0.638064	0.550052	0.357813	
0.208587	0.0461099	0.574806	0.0682345	0.577646	1.41416	0.29586	0.545512	0.423555	0.552574	0.699785	0.279217	0.226237	0.785817	0.320979	0.380528	0.976732	1.02874	0.584581	0.738288	
4.38066	4.07532	2.62655	2.33749	3.90174	2.44993	1.53671	1.32854	2.41692	2.45676	2.4025	2.15566	2.49075	3.31268	1.2712	1.94103	1.23259	1.71924	0.729936	1.17919	
-1.18	-0.583995	-0.581663	0.021467	0.0940626	0.428746	0.316226	0.132998	0.367857	0.242656	0.277774	0.418436	0.364644	0.328368	0.600492	0.334443	-0.202879	-0.0171665	-0.478281	-0.572669	
