ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
0.216099	2.02436	1.39505	0.465252	-0.253759	1.25348	0.980516	0.275187	0.405184	0.623895	0.838419	0.497837	1.004	3.04817	1.4894	1.2577	1.29258	1.17829	0.521725	0.294848	
0.54119	0.166653	-0.486099	-1.76876	0.702756	1.39078	0.946608	0.920544	-0.0024094	0.019407	0.0471856	-0.201822	0.326789	1.04938	0.57782	-0.307929	-0.961232	-0.502084	-0.116816	-0.733248	
0.362456	0.126478	0.198887	-0.0400828	0.984299	0.864956	0.634494	1.14083	-0.189031	-0.432824	-0.345574	0.143185	-0.448424	-0.0519186	-0.288511	0.0322421	0.559634	0.257939	0.306301	0.869042	
1.54445	0.708051	1.42789	2.06149	0.6263	0.27244	0.229937	0.573101	1.24888	2.08806	1.26205	1.02541	0.00944674	0.127231	0.0793611	-0.149644	-0.638748	-0.507757	-0.547908	-0.300224	
-1.85191	-1.34982	-0.7905	-1.57299	-2.44336	-1.14905	-0.522487	-0.931145	-1.76496	-1.60034	-2.23534	-2.57703	-1.67998	-0.803906	-0.754908	-1.79354	-1.82284	-0.95685	-1.14046	-1.39068	
-1.71191	-0.762752	-1.06404	-0.792908	0.253945	0.182328	-0.602282	-0.216776	-0.133669	-0.402594	-0.496838	-0.321258	-1.0092	-0.0729465	-0.581819	-0.76013	-0.0802197	-0.0304996	0.446559	-0.225019	
-0.571174	-0.565464	-1.34964	-0.951433	-0.477593	-0.327939	-0.679715	-0.749639	-0.376571	-0.198506	-0.450969	-0.194648	0.162892	0.0271194	-0.192443	-1.19676	0.176416	0.400708	0.520751	0.358862	
0.140533	-0.399085	0.144293	-0.81695	-0.00398949	0.839727	0.746876	0.78739	0.631064	1.24432	0.769513	1.00204	0.89977	0.673729	1.33104	1.06033	1.31783	1.67986	0.464169	1.05341	
-1.10823	-0.880365	-0.815976	-0.302888	1.3662	0.177005	-0.56269	-0.409659	-1.26556	-2.28809	-1.0657	-0.835817	0.663091	0.148359	-0.626364	-0.501412	0.0936208	-0.241263	-0.420665	-0.204719	
-0.701481	-0.465272	-0.608337	-0.839535	-0.600252	-0.871469	-0.892419	-1.78883	-0.990192	-0.534412	-1.24573	-0.351019	-0.167598	-0.572132	-0.422853	-0.507987	-0.941412	-0.771611	-0.581676	-0.611897	
