ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
1.06422	1.59138	0.908834	0.6373	0.490181	0.890991	0.701315	0.661349	1.46172	1.57894	1.7186	1.80823	1.97953	2.38818	1.546	1.13048	1.28842	1.41467	1.3379	0.900601	
-0.0288517	0.256884	0.0211007	-0.822136	-0.0139651	1.32107	0.160368	-0.403255	0.13654	-0.511711	0.850759	-0.185147	1.07275	1.36494	1.45092	0.839268	-1.34936	-0.461046	0.219562	0.176527	
-0.344284	0.146297	0.308212	0.00839178	-1.2703	-0.31022	-0.216134	-1.20681	-0.828369	-1.12407	-0.918763	-0.728671	-0.433965	-1.09893	-0.729467	-0.49043	-0.396086	0.100584	0.720859	-0.105533	
0.451472	-0.0695404	0.383808	1.12531	-0.428843	-0.360849	-0.753109	0.133086	-0.115033	0.290905	-0.628259	0.414646	-0.708602	-0.332971	-0.405723	-0.895258	-0.913852	-0.909571	-0.705106	-0.575369	
-0.351641	0.705003	0.337547	0.394875	1.16719	-0.11954	0.609721	0.91743	1.45202	0.327912	0.0548576	0.790381	0.867294	0.57446	1.21744	0.859913	1.85611	1.18307	1.40917	1.20044	
0.303444	0.343733	-0.192734	-0.0522806	0.166548	0.74346	0.173264	-0.0683804	0.217292	0.185898	0.00592457	0.0785705	0.274832	0.807102	0.460458	-0.0662187	0.316321	0.354101	0.498869	0.507424	
-0.266752	-0.317011	-0.461075	-0.811298	0.200528	0.0373453	-0.306683	-0.200009	-0.133069	-0.0108312	-0.122807	0.0116138	0.431205	-0.317028	-0.604314	-1.10692	0.140222	0.488357	0.28754	0.298016	
-1.48748	-1.68304	-1.15321	-1.01842	-1.00697	-0.28076	-1.20688	-1.3121	-0.753713	-0.437569	-0.0791093	-0.225114	-1.02945	-0.539887	-0.203323	-0.322246	0.6344	0.334741	0.469047	1.0476	
-1.0692	-0.453788	-0.611499	-0.574569	2.31251	-0.279338	0.118099	1.1233	0.577019	-0.0573093	0.344991	0.712921	0.568586	1.02729	-0.320566	0.217169	-0.0144882	0.60295	0.0998194	-0.115595	
0.335759	-0.285861	-0.269707	-0.87768	-0.117782	0.214121	0.228766	-0.890043	-0.630698	-0.825652	-1.14068	-0.953833	-0.477638	-0.170278	0.226086	-0.530844	-0.9705	-1.10114	-0.600212	-1.57835	
3.4969	3.69871	4.29644	4.23421	-0.635876	-0.140286	-0.199239	-1.22579	0.551996	-0.69785	-0.0211892	0.461056	1.09944	2.70331	3.21246	3.33905	-0.123222	0.67601	-0.124838	0.849807	
0.913925	0.19965	0.365104	0.126928	0.600615	0.78192	0.049816	0.317065	-0.0259759	0.132692	0.674414	0.0623804	0.470087	0.883592	0.337303	0.360697	0.738615	0.405526	0.384805	0.449133	
3.97467	2.37302	2.80743	-0.513155	-0.286251	1.2103	-0.150714	0.61582	0.972772	-0.316126	0.738861	0.553347	0.850412	2.24642	1.58066	0.682488	1.75383	2.83449	1.54262	0.105535	
0.507711	-0.0153004	0.791705	0.120199	0.538829	0.430883	0.262933	0.335762	-0.914754	0.289539	0.228024	0.485423	0.216712	0.0916394	-0.148504	-0.605312	0.0738168	0.0679791	0.251543	-0.0837464	
