ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
1.79414	1.89985	0.528278	0.323556	1.68206	1.28607	0.482957	-0.169915	2.2935	3.27218	1.87829	2.81592	2.77754	4.0925	2.34217	2.37982	0.82076	-0.0711491	0.730052	0.414607	
0.0287545	0.760594	-1.38839	-0.096217	-1.8863	-1.46435	-1.1113	-1.19485	-0.461553	-0.625302	-1.24606	0.121682	-2.15293	-3.99266	-2.44485	-2.9173	-3.02466	-2.74783	-2.49539	-1.44037	
-0.246253	-1.0849	0.205937	-0.492872	-1.47073	-0.29905	-0.506435	-1.36008	-0.525601	-0.676484	-0.980374	-0.398561	-0.515529	-0.184286	-0.396585	-0.16974	0.728099	0.891016	0.180332	0.591249	
1.13102	0.529165	0.926344	1.63252	0.0139417	-0.202723	-0.566279	-0.19295	0.642749	1.42361	0.507324	1.4395	0.0899866	0.546449	0.261652	-0.0230018	-0.702822	-0.157069	0.0580594	-1.03562	
0.287886	-0.526712	-0.0103711	0.111889	-0.620443	-0.0564289	-0.715834	0.145243	0.110187	0.668926	0.15125	0.441972	-1.09803	-0.639475	-0.147048	-0.526338	0.252754	0.924222	0.77463	1.04056	
-2.14215	-1.58015	-1.91239	-2.6522	0.730139	1.25046	0.0355488	-0.486238	0.182376	0.70931	1.56058	0.594674	0.446468	0.274136	-0.255961	0.0405896	0.885046	0.0143386	0.629166	-0.703794	
-0.0680535	-0.999833	-1.21436	-1.71275	-0.506005	-0.600715	-0.336463	-0.871272	-0.486169	-0.696961	-0.343576	-0.776027	-0.397103	-0.0488733	0.290466	-0.369839	-0.277407	-0.171733	-0.560418	-0.492883	
-3.47886	-3.74382	-3.50122	-2.63525	-0.778531	0.000926894	-2.02794	-1.03732	-3.49922	-2.66793	-2.21658	-2.15894	-2.21503	-1.15909	-1.71616	-1.77793	-3.02869	-3.18355	-2.20172	-2.33424	
-1.26249	-2.61834	-0.296871	-0.462414	0.702612	-1.02799	-1.95287	-0.534902	-0.492668	-0.443518	-0.771157	-0.467608	-2.30106	-0.981888	-1.16039	-1.82605	-0.911944	-0.646789	-0.705607	-1.91855	
0.56677	-0.663188	0.393991	-0.500197	0.096211	0.23889	0.20017	-0.477167	-0.564211	-0.748231	-0.261589	-0.905778	-0.112727	-0.828553	-0.701802	-1.61427	-0.94977	-0.630535	-1.11367	-1.63219	
