ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
0.516688	0.668925	0.248667	-0.176749	-0.245785	0.0165643	-0.141467	-0.541331	0.819107	0.389127	0.388676	0.705311	0.0104922	0.661641	0.0904655	0.450629	-0.5158	-0.862165	-0.579902	-0.438475	
-0.331821	-0.236665	-1.39539	-1.32926	0.510082	0.840686	0.186024	1.67133	-1.22819	-0.886274	-0.190148	-1.61854	0.158503	-0.320551	-0.00671462	-1.42619	0.0156511	0.162638	-0.303221	-0.981229	
0.925578	0.998226	0.814357	0.612318	-0.205318	-0.604615	-0.521364	-0.240228	0.889809	-0.12625	0.661552	0.947828	0.399264	0.289099	0.38544	0.626044	0.0349842	0.273351	0.287978	0.330004	
0.631201	0.340025	0.356321	1.01516	0.122285	-0.0503172	0.0379382	0.218145	0.481393	0.978096	0.119134	0.579118	-0.666473	-0.353214	-0.270927	-0.417242	-1.19298	-0.525112	-0.925018	-0.29411	
-0.540995	-0.104631	0.675095	-0.249095	-0.513389	-0.458892	-0.565477	-0.531049	-0.767438	-0.575951	0.202387	-0.806431	0.17822	0.573708	0.89201	0.280342	-0.529715	0.643889	0.433524	0.454156	
1.39163	1.65421	0.881838	0.822208	1.1774	1.55533	1.5237	2.07639	0.936128	0.0903059	2.42272	-0.282077	-0.258654	1.37165	0.23638	-0.505756	-0.0156752	0.564444	-0.465337	0.221096	
1.69635	2.23778	1.73995	1.49646	1.35272	1.76185	1.69213	1.06546	1.15565	1.06297	1.36327	1.14007	1.55729	1.29757	1.29841	1.14989	0.224191	0.902668	1.08264	0.849806	
1.90945	1.63241	1.87877	1.41504	0.829637	1.53442	1.26821	1.2412	1.34017	1.64123	1.30974	1.31998	1.64479	1.50132	1.77286	2.15597	0.286521	0.952871	0.415237	0.45752	
0.871132	0.748183	1.25369	0.426009	1.25114	0.467911	0.0772159	0.348813	0.238391	0.149469	-0.0308106	-0.127642	0.414541	0.970265	0.0908469	0.665343	1.42409	0.626904	0.360591	0.3426	
-0.0945802	-0.388349	0.0738587	-0.382454	-0.413772	-0.283941	-0.193752	0.0147293	0.10786	-0.228261	-0.0791655	-0.25879	-0.209767	-0.486764	-0.689497	-0.50692	-0.00319224	-0.178043	-0.0188847	-0.30723	
-2.11742	-1.60972	-2.44259	-1.81148	-2.2134	-1.20009	-1.34196	-2.41218	-1.77947	-2.16975	-2.41607	-1.86405	-3.08605	-2.63159	-2.07061	-1.86423	-0.346511	0.992086	0.132274	0.0523337	
0.463415	0.53851	0.238071	0.30889	-0.152401	-0.539889	-0.0268127	-0.381902	-0.00305337	0.236246	0.228438	0.702553	0.545677	0.317446	0.117498	0.214809	0.277207	0.155924	0.252023	0.219077	
3.25681	3.55001	0.153909	-0.601939	3.56963	2.10806	1.76751	1.13384	3.60593	1.50387	3.94242	1.46483	0.988174	2.2859	3.311	1.52847	3.14272	1.33195	2.89706	0.0518428	
0.874396	0.48035	1.52328	1.04884	0.553853	0.945607	0.668536	0.264001	-0.7025	0.904599	0.689464	0.642789	1.00223	0.596303	0.911885	0.825592	0.844443	0.339731	0.649291	0.345325	
-0.278493	-0.851848	-0.130611	-0.183156	0.0696291	0.220694	-0.179907	-0.378915	0.30682	0.397755	0.243781	0.276907	-0.0972504	0.374076	-0.0215003	-0.0363103	0.486667	0.787423	0.616026	0.0495173	
1.19932	1.71259	1.86481	1.34475	1.98605	2.45051	2.09404	2.2219	1.97069	2.28205	2.01061	1.36169	1.43758	1.47454	1.1482	0.843327	0.458444	0.856508	1.3841	0.643839	
0.525119	1.23989	1.08046	1.05767	0.969049	1.93052	0.631241	0.654173	1.19012	1.87805	1.71629	1.05701	1.94511	1.88005	1.53999	1.40392	0.698995	0.637105	0.52114	0.557679	
0.343514	0.36779	0.265692	0.547697	1.06808	1.2386	1.28725	1.0153	-0.355211	-0.18553	0.366514	0.701677	0.820456	1.68786	1.15988	1.12971	0.357595	0.975357	1.35193	0.635369	
1.3881	1.37657	2.12524	1.93989	2.1528	0.790937	0.803336	0.895517	0.799015	0.753548	1.11676	1.61091	1.51829	1.61726	1.50076	1.81839	1.25318	0.594849	-0.143931	1.24967	
0.742738	-0.401497	-0.451844	-0.459077	-0.918798	-0.601067	0.248357	-1.33053	0.515826	0.325562	0.104366	-0.454011	0.0494377	-0.356954	-0.145211	-0.543955	-0.146994	0.737445	-0.366737	-1.05398	
5.42196	5.17721	7.13376	9.17394	1.55109	2.88751	0.912837	1.90514	1.79495	1.33164	2.41791	1.00837	2.44872	1.32798	2.16769	2.70382	1.64818	2.84231	2.19375	2.15535	
1.86101	3.46897	1.85362	2.53101	1.69573	1.70495	2.75009	2.38856	3.67074	1.74246	3.13635	3.12073	0.32367	1.73991	1.21935	1.11671	2.14367	2.16125	2.34471	2.61369	
0.35603	0.824708	0.500741	0.475063	0.19867	0.624716	0.335115	0.24	-0.0355301	-0.0176243	0.169306	-0.0843298	0.118578	0.0956174	0.0703091	0.189128	0.143173	-0.367783	-0.0512987	-0.0605208	
