ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
0.378615	0.432206	-0.225505	-0.681489	0.00779257	0.254501	-0.458478	-0.444372	-0.16671	-0.204467	-0.580445	0.0164738	-0.990278	-0.664965	-0.619863	-0.200419	-0.228598	-1.04551	-0.429964	-0.343372	
0.335928	0.505348	-0.724711	-0.934775	0.12965	1.01843	0.845246	1.10478	0.875474	0.377817	1.14995	0.741194	0.108728	0.641363	-0.0581821	-0.522112	0.307576	-0.0145569	-0.253234	-0.527524	
0.538536	0.900751	0.645014	0.846754	0.877764	0.936448	0.746723	0.0291648	0.738084	0.578049	0.778322	0.935084	0.667882	0.877275	0.812729	0.806595	0.429205	0.630175	0.49081	0.41546	
1.46791	0.0995027	0.760381	1.39316	-0.58366	-0.578933	-0.149868	0.0755477	0.565007	0.97831	0.220488	0.0739013	-0.919785	-0.865658	-0.531197	-0.674976	-0.612545	-0.524259	-0.65557	-0.233533	
-1.3726	-1.26895	-1.07338	-1.36757	-0.310577	0.227369	-0.0283358	-0.225636	0.785789	0.195036	0.498874	0.124768	-0.842773	-0.688517	0.327511	-1.01143	-0.49032	-0.333653	-0.643944	-0.225738	
-0.959077	-0.0825005	-1.20155	-1.23752	0.253629	-0.211578	-0.509157	-0.574585	-0.266183	0.121577	-0.100289	-0.0312512	-0.563182	-0.521579	-0.57603	-0.223337	-0.125316	0.301894	0.204264	-0.586662	
-0.218665	0.148375	-0.061714	-0.348747	-0.24181	0.328582	-0.643326	-0.798678	0.403867	0.384473	0.222885	0.150326	0.668795	0.618984	0.365374	0.817052	0.220628	0.590256	0.537888	0.362003	
0.851741	1.03082	0.731855	0.874998	0.734316	1.52312	1.1425	1.12834	0.964812	1.09721	0.783707	0.917487	0.820789	0.957924	1.40353	1.1459	1.46682	1.81118	1.34364	1.60663	
-1.28166	-0.643084	-0.694997	-0.522803	2.28146	0.201141	-0.127073	-0.800074	0.788916	-0.595264	-0.0447884	0.416166	-0.802674	-0.315712	-0.856428	-0.69454	-0.043318	0.0635643	0.143676	-0.268884	
0.0509615	-0.14729	0.302	0.147882	-0.0210969	0.519538	0.701479	0.667079	0.744768	0.639798	0.282202	0.484775	0.785551	0.215661	0.504493	0.0484082	0.695048	0.19258	-0.16306	-0.0421117	
