ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
0.329036	1.00504	0.251561	-0.0338207	0.0499055	0.497822	0.0766179	0.133762	0.992545	0.517413	0.673237	0.549556	1.36996	2.18004	0.59021	1.55314	0.847327	0.973763	0.317392	0.831539	
1.20116	0.068275	0.375216	-0.310693	-0.360864	0.395593	-0.0259689	-0.131029	0.951066	0.929819	2.07889	1.64302	0.551382	0.886551	0.287246	0.161042	1.02567	0.114308	0.22043	0.118884	
-1.17578	-0.665835	-0.749388	-1.58679	-1.18331	-0.0509954	-0.402407	-0.380164	-0.909647	-1.14923	-0.224262	-0.248989	0.305558	0.289592	-0.252749	0.210148	-1.19811	-0.974061	0.177545	-0.448523	
2.00895	1.42955	1.63553	2.28369	0.759901	0.772658	0.633707	0.467946	1.68412	2.49408	1.41764	1.18033	0.707405	0.669138	0.806177	0.618892	0.305132	0.65305	0.458006	0.529964	
-0.318763	-0.193761	-0.174382	-0.778532	-0.933168	-0.412673	0.326238	-0.331789	-0.899224	-2.03283	-1.4881	-1.24627	-1.7483	-0.0752182	0.496025	-1.12362	-0.470132	-0.342058	-0.648507	-0.623129	
-1.10266	-0.698499	-0.771843	-0.69521	-0.340863	-0.183664	-0.854857	-1.27012	-0.914784	-0.752544	-0.699525	-0.463374	-0.711714	-0.186026	-0.284339	-0.799726	-0.263709	0.0320293	0.0379224	-0.156216	
-0.276858	-0.755665	-0.791025	-1.24712	-0.267218	-0.408835	-0.989563	-1.1219	-0.331134	-0.315681	-0.0873728	-0.0680489	-0.276818	-0.708342	-0.94982	-1.01572	0.124032	0.20225	0.170946	0.401848	
0.750422	0.342781	0.923051	0.0832768	0.206028	0.260425	0.492474	0.51024	-0.123393	0.505882	0.241544	0.32545	-0.2901	0.299316	0.598876	0.573833	0.0501668	0.445178	-0.0859944	-0.177177	
0.4311	-0.312713	0.035645	0.0547524	2.41683	-0.0725347	0.184299	-0.254157	0.530456	0.86763	0.472974	0.802652	0.73725	1.06521	0.49149	-0.000556609	0.948724	0.713091	0.203334	0.102545	
-0.199627	-0.124147	0.0630291	-0.00254445	-0.21292	0.231404	0.328923	-0.369016	0.489488	-0.217334	0.14841	0.144957	0.315147	-0.195565	0.191947	-0.010807	0.093528	-0.0279563	-0.0468286	-0.225954	
