ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
0.0352288	0.0700812	-0.462188	-0.385797	0.809939	0.276602	0.338161	0.137215	0.746694	0.915879	0.209158	0.701147	0.709464	0.523395	0.858936	0.146009	0.363273	-0.187081	0.45683	-0.0755753	
1.45348	1.61163	-1.14693	0.389634	0.058387	0.016923	-0.649806	0.691371	-0.617325	-0.281759	0.707709	0.905691	-1.55374	-2.63946	-1.73183	-2.16542	-2.148	-0.86076	-1.06026	-0.695445	
-0.202765	-0.796063	-0.121131	-0.596846	-0.618109	-0.0132091	-0.251933	-0.912875	-0.415426	-0.628603	-0.819202	-0.392807	-0.80369	-0.432565	-0.786348	-0.540034	0.136637	0.608165	-0.0749908	-0.113551	
2.14175	1.38159	1.8559	2.63378	0.333071	0.315146	0.248242	0.230586	1.68586	2.54038	1.51948	1.60461	0.373508	0.450269	0.514837	0.504219	-0.5453	0.0177861	0.33413	-0.137745	
-1.27575	-0.723148	-1.17035	-1.56459	-0.882105	-0.999283	-0.673653	-1.03619	-0.858833	-1.3069	-0.859735	-1.67208	-1.49487	-0.681941	-0.708997	-1.30506	-1.05966	-0.200023	-0.824326	-0.364181	
-0.936747	-0.417215	-0.786037	-0.544564	0.34888	0.464482	0.387619	-0.101322	0.00974408	-0.0136259	0.28287	0.25062	0.146912	0.157095	-0.316265	-0.278242	0.782171	0.718452	0.804088	0.352011	
0.641822	0.613529	0.088341	-0.458587	0.639377	0.939544	0.519218	-0.0268631	0.781868	0.476557	0.688346	0.36621	0.645355	0.341063	0.831213	-0.00637997	0.297275	0.577291	0.560597	0.344223	
0.0890043	-0.217238	0.434446	0.000228534	0.0114119	0.120269	-0.322133	-0.370078	-0.154875	-0.109392	0.0980941	0.460467	-0.314611	0.402373	0.402602	0.663992	0.437247	0.282551	0.157551	-0.0610279	
-2.38524	-2.05758	-1.3683	-1.18244	1.29923	-1.31546	-1.70028	-0.893367	-0.26532	-0.204472	-0.194653	0.330059	-0.729024	-0.461926	-0.500199	-1.01217	-0.0356036	0.210839	-0.346007	-1.08248	
0.498695	0.0815926	0.766158	-0.0289884	-0.311098	-0.120485	0.106815	0.0430577	0.318233	0.362633	0.495092	-0.140885	0.065262	-0.482818	-0.658781	-0.529688	0.75225	0.401236	0.36501	0.0877017	
0.940032	1.41767	1.20251	1.61353	-0.655199	-0.034591	0.251284	-0.901106	0.681628	-0.310275	0.433283	0.469097	-0.0902748	0.133452	0.888523	0.915446	2.69074	2.66162	0.990155	0.945322	
0.675249	-0.903025	-0.7065	-1.62867	-3.05764	-2.8328	-3.69061	-4.43647	-4.58126	-3.84839	-4.62033	-4.88165	-1.39086	-1.022	-1.54717	-1.41659	-2.03854	-2.78598	-2.26272	-2.3796	
-0.598651	2.60135	0.482859	-2.2384	3.29609	2.43762	0.047611	-0.156055	-2.30059	0.823402	0.824789	-1.785	-1.58331	-0.990976	-1.09427	-4.77234	0.92214	1.37666	2.75557	-0.793357	
1.56915	0.409106	2.33157	1.52037	0.391165	0.386451	-0.0893807	0.0120858	-3.11728	1.13372	-0.342602	-0.363747	1.00541	0.850035	1.30455	0.612537	1.04962	1.12727	1.16093	0.834874	
